UserID,Role,Round,totalRound,Total,move,roundResult,gameType
283510,first,1,1,100,0,"[100, 0]",dictator
283923,second,1,1,100,None,"[100, 0]",dictator
283928,first,1,1,100,0,"[100, 0]",dictator
284571,second,1,1,100,None,"[100, 0]",dictator
284704,second,1,1,100,None,"[100, 0]",dictator
284705,first,1,1,100,50,"[50, 50]",dictator
284777,first,1,1,100,0,"[100, 0]",dictator
284778,second,1,1,100,None,"[95, 5]",dictator
284779,first,1,1,100,0,"[100, 0]",dictator
284781,second,1,1,100,None,"[100, 0]",dictator
284818,second,1,1,100,None,"[100, 0]",dictator
284819,first,1,1,100,0,"[100, 0]",dictator
284825,second,1,1,100,None,"[50, 50]",dictator
285287,second,1,1,100,None,"[100, 0]",dictator
285530,second,1,1,100,None,"[100, 0]",dictator
285558,first,1,1,100,5,"[95, 5]",dictator
285792,first,1,1,100,0,"[100, 0]",dictator
285812,first,1,1,100,0,"[100, 0]",dictator
285849,first,1,1,100,0,"[100, 0]",dictator
285850,first,1,1,100,0,[100],dictator
295437,first,1,1,100,0,"[100, 0]",dictator
295459,second,1,1,100,None,"[100, 0]",dictator
301097,second,1,1,100,None,"[100, 0]",dictator
98685,second,1,1,100,None,"[90, 10]",dictator
98736,second,1,1,100,None,"[100, 0]",dictator
98736,first,1,1,100,0,"[100, 0]",dictator
120273,first,1,1,85,0,[85],dictator
120273,first,1,1,100,10,"[90, 10]",dictator
122122,second,1,1,100,None,"[90, 10]",dictator
122122,first,1,1,100,0,"[100, 0]",dictator
132646,second,1,1,100,None,"[62, 38]",dictator
132646,first,1,1,100,10,"[90, 10]",dictator
132661,first,1,1,100,0,"[100, 0]",dictator
132661,second,1,1,100,None,"[99, 1]",dictator
133408,first,1,1,100,42,"[58, 42]",dictator
133408,second,1,1,100,None,"[100, 0]",dictator
133412,second,1,1,100,None,"[99, 1]",dictator
133412,first,1,1,100,0,"[100, 0]",dictator
133413,first,1,1,100,0,"[100, 0]",dictator
133413,second,1,1,100,None,"[100, 0]",dictator
133414,second,1,1,100,None,"[50, 50]",dictator
133414,first,1,1,100,0,"[100, 0]",dictator
133415,second,1,1,100,None,"[75, 25]",dictator
133415,first,1,1,100,0,"[100, 0]",dictator
133419,first,1,1,100,50,"[50, 50]",dictator
133419,second,1,1,100,None,"[100, 0]",dictator
133946,first,1,1,100,0,"[100, 0]",dictator
133946,second,1,1,100,None,"[100, 0]",dictator
134078,second,1,1,100,None,"[100, 0]",dictator
134078,first,1,1,100,1,"[99, 1]",dictator
134113,second,1,1,100,None,"[50, 50]",dictator
134113,first,1,1,100,0,"[100, 0]",dictator
134118,first,1,1,100,50,"[50, 50]",dictator
134118,second,1,1,100,None,"[99, 1]",dictator
134288,first,1,1,100,0,"[100, 0]",dictator
134288,second,1,1,100,None,"[100, 0]",dictator
134381,second,1,1,100,None,"[99, 1]",dictator
134381,first,1,1,100,0,"[100, 0]",dictator
134483,first,1,1,100,50,"[50, 50]",dictator
134483,second,1,1,100,None,"[100, 0]",dictator
134507,second,1,1,100,None,"[50, 50]",dictator
134507,first,1,1,100,1,"[99, 1]",dictator
134536,first,1,1,100,13,"[87, 13]",dictator
134536,second,1,1,100,None,"[100, 0]",dictator
134539,second,1,1,100,None,"[100, 0]",dictator
134539,first,1,1,100,0,"[100, 0]",dictator
134571,first,1,1,100,50,"[50, 50]",dictator
134571,second,1,1,100,None,"[100, 0]",dictator
134660,second,1,1,100,None,"[100, 0]",dictator
134660,first,1,1,100,0,"[100, 0]",dictator
134670,second,1,1,100,None,"[58, 42]",dictator
134670,first,1,1,100,0,"[100, 0]",dictator
135127,first,1,1,100,1,"[99, 1]",dictator
135127,second,1,1,100,None,"[100, 0]",dictator
135139,second,1,1,100,None,"[100, 0]",dictator
135139,first,1,1,100,0,"[100, 0]",dictator
135182,first,1,1,100,10,"[90, 10]",dictator
135182,second,1,1,100,None,"[100, 0]",dictator
135189,second,1,1,100,None,"[87, 13]",dictator
135189,first,1,1,100,0,"[100, 0]",dictator
135229,first,1,1,100,38,"[62, 38]",dictator
135229,second,1,1,100,None,"[90, 10]",dictator
135232,first,1,1,100,0,"[100, 0]",dictator
135232,second,1,1,100,None,"[100, 0]",dictator
135233,first,1,1,100,50,"[50, 50]",dictator
135233,second,1,1,100,None,"[50, 50]",dictator
135234,second,1,1,100,None,"[50, 50]",dictator
135234,first,1,1,100,0,"[100, 0]",dictator
135243,second,1,1,100,None,"[50, 50]",dictator
135243,first,1,1,100,50,"[50, 50]",dictator
135248,first,1,1,100,25,"[75, 25]",dictator
135248,second,1,1,100,None,"[100, 0]",dictator
138168,first,1,1,100,1,"[99, 1]",dictator
138168,second,1,1,100,None,"[100, 0]",dictator
432861,first,1,3,100,33,"[67, 33]",dictator
432861,first,2,3,100,0,"[100, 0]",dictator
432861,first,3,3,100,0,"[100, 0]",dictator
434013,first,1,3,100,46,"[54, 46]",dictator
434013,first,2,3,100,60,"[40, 60]",dictator
434013,first,3,3,100,43,"[57, 43]",dictator
434017,first,1,3,100,50,"[50, 50]",dictator
434017,first,2,3,100,25,"[75, 25]",dictator
434017,first,3,3,100,0,"[100, 0]",dictator
434120,first,1,3,100,50,"[50, 50]",dictator
434120,first,2,3,100,50,"[50, 50]",dictator
434120,first,3,3,100,50,"[50, 50]",dictator
434268,first,1,3,100,25,"[75, 25]",dictator
434268,first,2,3,100,0,"[100, 0]",dictator
434268,first,3,3,100,0,"[100, 0]",dictator
434723,first,1,3,100,50,"[50, 50]",dictator
434723,first,2,3,100,0,"[100, 0]",dictator
434723,first,3,3,100,0,"[100, 0]",dictator
434844,first,1,3,100,50,"[50, 50]",dictator
434844,first,2,3,100,30,"[70, 30]",dictator
434844,first,3,3,0,1,"[0, 0]",dictator
432394,first,1,3,100,50,"[50, 50]",dictator
432394,first,2,3,100,43,"[57, 43]",dictator
432394,first,3,3,100,0,"[100, 0]",dictator
433389,first,1,3,100,40,"[60, 40]",dictator
433389,first,2,3,100,50,"[50, 50]",dictator
433389,first,3,3,100,25,"[75, 25]",dictator
434135,first,1,3,100,48,"[52, 48]",dictator
