UserID,Role,Round,totalRound,move,Total,roundResult,gameType
84765,player,1,1,33,100,SAFE,bomb_risk
85961,player,1,1,33,100,SAFE,bomb_risk
459212,player,1,1,70,100,SAFE,bomb_risk
459232,player,1,1,80,100,BOMB,bomb_risk
459266,player,1,1,49,100,BOMB,bomb_risk
459289,player,1,1,44,100,BOMB,bomb_risk
459309,player,1,1,50,100,SAFE,bomb_risk
459419,player,1,1,20,100,SAFE,bomb_risk
459573,player,1,1,25,100,SAFE,bomb_risk
459667,player,1,1,44,100,SAFE,bomb_risk
459713,player,1,1,18,100,BOMB,bomb_risk
459880,player,1,1,25,100,SAFE,bomb_risk
459902,player,1,1,50,100,SAFE,bomb_risk
459905,player,1,1,42,100,SAFE,bomb_risk
459931,player,1,1,-1,100,BOMB,bomb_risk
459944,player,1,1,50,100,SAFE,bomb_risk
459973,player,1,1,50,100,SAFE,bomb_risk
459975,player,1,1,11,100,SAFE,bomb_risk
460033,player,1,1,50,100,BOMB,bomb_risk
464087,player,1,1,49,100,BOMB,bomb_risk
391928,player,1,1,35,100,SAFE,bomb_risk
392554,player,1,1,50,100,BOMB,bomb_risk
430649,player,1,1,34,100,BOMB,bomb_risk
459211,player,1,1,50,100,SAFE,bomb_risk
459215,player,1,1,77,100,BOMB,bomb_risk
459242,player,1,1,99,100,BOMB,bomb_risk
459267,player,1,1,51,100,BOMB,bomb_risk
459397,player,1,1,40,100,BOMB,bomb_risk
459567,player,1,1,30,100,BOMB,bomb_risk
459623,player,1,1,40,100,SAFE,bomb_risk
459953,player,1,1,50,100,BOMB,bomb_risk
460216,player,1,1,20,100,SAFE,bomb_risk
460457,player,1,1,55,100,SAFE,bomb_risk
460533,player,1,1,100,100,BOMB,bomb_risk
460598,player,1,1,50,100,BOMB,bomb_risk
461789,player,1,1,50,100,BOMB,bomb_risk
430240,player,1,1,66,100,SAFE,bomb_risk
431295,player,1,1,69,100,BOMB,bomb_risk
459944,player,1,1,40,100,BOMB,bomb_risk
498738,player,1,1,50,100,BOMB,bomb_risk
499347,player,1,1,33,100,SAFE,bomb_risk
499457,player,1,1,15,100,SAFE,bomb_risk
499544,player,1,1,99,100,BOMB,bomb_risk
499624,player,1,1,89,100,BOMB,bomb_risk
499678,player,1,1,70,100,SAFE,bomb_risk
499685,player,1,1,60,100,SAFE,bomb_risk
499697,player,1,1,50,100,BOMB,bomb_risk
499709,player,1,1,50,100,SAFE,bomb_risk
499945,player,1,1,50,100,SAFE,bomb_risk
499947,player,1,1,80,100,BOMB,bomb_risk
501017,player,1,1,80,100,BOMB,bomb_risk
501996,player,1,1,50,100,BOMB,bomb_risk
502268,player,1,1,40,100,BOMB,bomb_risk
140512,player,1,3,25,100,SAFE,bomb_risk
140512,player,2,3,75,100,SAFE,bomb_risk
140512,player,3,3,99,100,BOMB,bomb_risk
140519,player,1,3,11,100,BOMB,bomb_risk
140519,player,2,3,50,100,BOMB,bomb_risk
140519,player,3,3,50,100,BOMB,bomb_risk
140528,player,1,3,49,100,BOMB,bomb_risk
140528,player,2,3,11,100,SAFE,bomb_risk
140528,player,3,3,13,100,SAFE,bomb_risk
140543,player,1,3,98,100,BOMB,bomb_risk
140543,player,2,3,55,100,SAFE,bomb_risk
140543,player,3,3,68,100,BOMB,bomb_risk
140583,player,1,3,87,100,BOMB,bomb_risk
140583,player,2,3,87,100,SAFE,bomb_risk
140583,player,3,3,97,100,BOMB,bomb_risk
140587,player,1,3,30,100,SAFE,bomb_risk
140587,player,2,3,40,100,BOMB,bomb_risk
140587,player,3,3,30,100,SAFE,bomb_risk
140699,player,1,3,50,100,BOMB,bomb_risk
140699,player,2,3,50,100,BOMB,bomb_risk
140699,player,3,3,50,100,SAFE,bomb_risk
140730,player,1,3,70,100,SAFE,bomb_risk
140730,player,2,3,60,100,SAFE,bomb_risk
140730,player,3,3,35,100,SAFE,bomb_risk
140731,player,1,3,100,100,BOMB,bomb_risk
140731,player,2,3,50,100,SAFE,bomb_risk
140731,player,3,3,55,100,BOMB,bomb_risk
140776,player,1,3,50,100,BOMB,bomb_risk
140776,player,2,3,41,100,BOMB,bomb_risk
140776,player,3,3,20,100,SAFE,bomb_risk
141103,player,1,3,69,100,BOMB,bomb_risk
141103,player,2,3,69,100,BOMB,bomb_risk
141103,player,3,3,69,100,BOMB,bomb_risk
179486,player,1,3,0,100,SAFE,bomb_risk
179486,player,2,3,99,100,BOMB,bomb_risk
179486,player,3,3,65,100,BOMB,bomb_risk
179488,player,1,3,52,100,BOMB,bomb_risk
179488,player,2,3,60,100,BOMB,bomb_risk
179488,player,3,3,91,100,BOMB,bomb_risk
179491,player,1,3,69,100,BOMB,bomb_risk
179491,player,2,3,57,100,BOMB,bomb_risk
179491,player,3,3,78,100,BOMB,bomb_risk
179492,player,1,3,30,100,BOMB,bomb_risk
179492,player,2,3,10,100,SAFE,bomb_risk
179492,player,3,3,50,100,BOMB,bomb_risk
179493,player,1,3,65,100,BOMB,bomb_risk
179493,player,2,3,31,100,SAFE,bomb_risk
179493,player,3,3,20,100,SAFE,bomb_risk
179494,player,1,3,61,100,BOMB,bomb_risk
179494,player,2,3,62,100,BOMB,bomb_risk
179494,player,3,3,0,100,SAFE,bomb_risk
179495,player,1,3,75,100,BOMB,bomb_risk
179495,player,2,3,65,100,BOMB,bomb_risk
179495,player,3,3,50,100,SAFE,bomb_risk
179496,player,1,3,59,100,BOMB,bomb_risk
179496,player,2,3,56,100,SAFE,bomb_risk
179496,player,3,3,85,100,BOMB,bomb_risk
179498,player,1,3,50,100,BOMB,bomb_risk
179498,player,2,3,50,100,SAFE,bomb_risk
179498,player,3,3,50,100,BOMB,bomb_risk
179499,player,1,3,45,100,SAFE,bomb_risk
179499,player,2,3,67,100,BOMB,bomb_risk
179499,player,3,3,63,100,SAFE,bomb_risk
179502,player,1,3,40,100,SAFE,bomb_risk
179502,player,2,3,50,100,BOMB,bomb_risk
179502,player,3,3,50,100,BOMB,bomb_risk
179503,player,1,3,93,100,BOMB,bomb_risk
179503,player,2,3,33,100,BOMB,bomb_risk
179503,player,3,3,66,100,BOMB,bomb_risk
179504,player,1,3,10,100,SAFE,bomb_risk
179504,player,2,3,20,100,SAFE,bomb_risk
179504,player,3,3,30,100,BOMB,bomb_risk
179508,player,1,3,0,100,SAFE,bomb_risk
179508,player,2,3,0,100,SAFE,bomb_risk
179508,player,3,3,0,100,SAFE,bomb_risk
179509,player,1,3,3,100,SAFE,bomb_risk
179509,player,2,3,7,100,SAFE,bomb_risk
179509,player,3,3,20,100,SAFE,bomb_risk
179510,player,1,3,76,100,BOMB,bomb_risk
179510,player,2,3,20,100,SAFE,bomb_risk
179510,player,3,3,47,100,SAFE,bomb_risk
179511,player,1,3,40,100,SAFE,bomb_risk
179511,player,2,3,24,100,SAFE,bomb_risk
179511,player,3,3,48,100,BOMB,bomb_risk
179514,player,1,3,70,100,SAFE,bomb_risk
179514,player,2,3,30,100,SAFE,bomb_risk
179514,player,3,3,30,100,SAFE,bomb_risk
179516,player,1,3,73,100,SAFE,bomb_risk
179516,player,2,3,73,100,SAFE,bomb_risk
179516,player,3,3,73,100,SAFE,bomb_risk
179525,player,1,3,0,100,SAFE,bomb_risk
179525,player,2,3,84,100,BOMB,bomb_risk
179525,player,3,3,83,100,BOMB,bomb_risk
179526,player,1,3,80,100,BOMB,bomb_risk
179526,player,2,3,0,100,SAFE,bomb_risk
179526,player,3,3,50,100,SAFE,bomb_risk
179527,player,1,3,40,100,BOMB,bomb_risk
179527,player,2,3,20,100,SAFE,bomb_risk
179527,player,3,3,40,100,SAFE,bomb_risk
179528,player,1,3,85,100,BOMB,bomb_risk
179528,player,2,3,44,100,SAFE,bomb_risk
179528,player,3,3,35,100,BOMB,bomb_risk
179529,player,1,3,0,100,SAFE,bomb_risk
179529,player,2,3,50,100,SAFE,bomb_risk
179529,player,3,3,64,100,SAFE,bomb_risk
179536,player,1,3,10,100,SAFE,bomb_risk
179536,player,2,3,90,100,SAFE,bomb_risk
179536,player,3,3,90,100,BOMB,bomb_risk
179537,player,1,3,25,100,SAFE,bomb_risk
179537,player,2,3,0,100,SAFE,bomb_risk
179537,player,3,3,30,100,SAFE,bomb_risk
179538,player,1,3,60,100,SAFE,bomb_risk
179538,player,2,3,55,100,BOMB,bomb_risk
179538,player,3,3,50,100,SAFE,bomb_risk
179539,player,1,3,0,100,SAFE,bomb_risk
179539,player,2,3,65,100,BOMB,bomb_risk
179539,player,3,3,50,100,BOMB,bomb_risk
179540,player,1,3,19,100,BOMB,bomb_risk
179540,player,2,3,0,100,SAFE,bomb_risk
179540,player,3,3,19,100,SAFE,bomb_risk
179541,player,1,3,67,100,BOMB,bomb_risk
179541,player,2,3,0,100,SAFE,bomb_risk
179541,player,3,3,75,100,BOMB,bomb_risk
179542,player,1,3,50,100,BOMB,bomb_risk
179542,player,2,3,40,100,SAFE,bomb_risk
179542,player,3,3,60,100,BOMB,bomb_risk
179543,player,1,3,33,100,SAFE,bomb_risk
179543,player,2,3,34,100,SAFE,bomb_risk
179543,player,3,3,23,100,BOMB,bomb_risk
179545,player,1,3,0,100,SAFE,bomb_risk
179545,player,2,3,0,100,SAFE,bomb_risk
179545,player,3,3,0,100,SAFE,bomb_risk
179547,player,1,3,50,100,BOMB,bomb_risk
179547,player,2,3,51,100,BOMB,bomb_risk
179547,player,3,3,61,100,SAFE,bomb_risk
179548,player,1,3,70,100,BOMB,bomb_risk
179548,player,2,3,54,100,BOMB,bomb_risk
179548,player,3,3,55,100,BOMB,bomb_risk
459211,player,1,1,50,100,BOMB,bomb_risk
459242,player,1,1,54,100,BOMB,bomb_risk
460533,player,1,1,65,100,BOMB,bomb_risk
527975,player,1,1,63,100,SAFE,bomb_risk
527999,player,1,1,48,100,BOMB,bomb_risk
528098,player,1,1,0,100,SAFE,bomb_risk
528185,player,1,1,64,100,BOMB,bomb_risk
528226,player,1,1,40,100,BOMB,bomb_risk
528227,player,1,1,40,100,BOMB,bomb_risk
528237,player,1,1,80,100,BOMB,bomb_risk
528416,player,1,1,45,100,BOMB,bomb_risk
528470,player,1,1,49,100,BOMB,bomb_risk
528473,player,1,1,1,100,SAFE,bomb_risk
532184,player,1,1,1,100,SAFE,bomb_risk
280744,player,1,1,54,100,SAFE,bomb_risk
281261,player,1,1,75,100,SAFE,bomb_risk
281320,player,1,1,44,100,BOMB,bomb_risk
281331,player,1,1,45,100,SAFE,bomb_risk
281333,player,1,1,30,100,SAFE,bomb_risk
281345,player,1,1,33,100,SAFE,bomb_risk
281399,player,1,1,0,100,SAFE,bomb_risk
281457,player,1,1,45,100,SAFE,bomb_risk
281492,player,1,1,30,100,SAFE,bomb_risk
281657,player,1,1,52,100,SAFE,bomb_risk
281670,player,1,1,42,100,SAFE,bomb_risk
281677,player,1,1,45,100,SAFE,bomb_risk
281687,player,1,1,42,100,SAFE,bomb_risk
281688,player,1,1,72,100,SAFE,bomb_risk
281747,player,1,1,42,100,BOMB,bomb_risk
281772,player,1,1,50,100,SAFE,bomb_risk
281945,player,1,1,53,100,SAFE,bomb_risk
282046,player,1,1,49,100,SAFE,bomb_risk
282115,player,1,1,35,100,SAFE,bomb_risk
282240,player,1,1,20,100,SAFE,bomb_risk
282254,player,1,1,20,100,SAFE,bomb_risk
282416,player,1,1,44,100,SAFE,bomb_risk
283437,player,1,1,24,100,BOMB,bomb_risk
283626,player,1,1,22,100,SAFE,bomb_risk
283750,player,1,1,16,100,SAFE,bomb_risk
283900,player,1,1,39,100,SAFE,bomb_risk
283902,player,1,1,52,100,SAFE,bomb_risk
