Dictator
0.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
30.0
30.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
20.0
20.0
20.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
60.0
60.0
0.0
0.0
10.0
10.0
20.0
20.0
20.0
20.0
20.0
20.0
30.0
30.0
30.0
30.0
30.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
60.0
60.0
0.0
0.0
0.0
20.0
20.0
30.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
60.0
60.0
60.0
60.0
10.0
10.0
20.0
20.0
20.0
20.0
20.0
30.0
30.0
30.0
30.0
30.0
40.0
50.0
50.0
50.0
50.0
50.0
60.0
60.0
60.0
60.0
10.0
10.0
10.0
20.0
20.0
20.0
20.0
20.0
20.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
10.0
10.0
20.0
20.0
20.0
20.0
20.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
90.0
90.0
10.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
0.0
0.0
0.0
10.0
10.0
20.0
20.0
20.0
20.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
60.0
60.0
10.0
10.0
10.0
20.0
20.0
20.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
80.0
90.0
10.0
20.0
20.0
20.0
20.0
20.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
60.0
100.0
10.0
10.0
10.0
10.0
10.0
20.0
20.0
20.0
30.0
30.0
30.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
40.0
40.0
10.0
20.0
20.0
20.0
20.0
20.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
60.0
0.0
0.0
0.0
0.0
10.0
30.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
20.0
20.0
20.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
60.0
60.0
70.0
80.0
90.0
0.0
0.0
0.0
10.0
10.0
10.0
10.0
10.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
30.0
30.0
30.0
30.0
30.0
40.0
40.0
40.0
40.0
40.0
40.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
50.0
